อันดับ,ชื่อร้าน,พิกัด,ที่อยู่,เวลาทำการ,ช่องทางติดต่อ,ที่จอดรถ,เว็บไซต์,เปิดหลังเที่ยงคืน,มีที่จอดรถ
1,Buddahouse,https://g.page/buddahouse?share,"7,8 ซ.ลาดพร้าว 8 แยก 3 แขวงจอมพล เขตจตุจักร กรุงเทพฯ",18.00 - 01.00 น. (หยุดทุกวันอังคาร),ไม่มี,มี,https://www.facebook.com/Buddahouse-101354122079152/,ใช่,ใช่
2,ฟัง pls.,https://goo.gl/maps/gYPkLnov8sbPMQKg8,1677 ซอยพหลโยธิน 17 แขวงจตุจักร เขตจตุจักร กรุงเทพฯ,17.00 - 02.00 น.,08-4880-2881,มี,https://www.facebook.com/Fungpls,ใช่,ใช่
3,ลาดมะพร้าว,https://goo.gl/maps/GMpEUoaPWSdQgVgs8,1128/1 ห้าแยกลาดพร้าว แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,17.00 - 01.00 น.,08-9123-6349,มี,https://www.facebook.com/Ladmaprao.viphavadee/,ใช่,ใช่
4,Where Do WE Go,https://goo.gl/maps/5nViTuyto8iYBMYY9,1008 ถ.โชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ,17.00 - 21.00 น. (ปิดวันจันทร์),09-4548-2326,มี,https://www.facebook.com/wheredowegobkk/,ไม่ใช่,ใช่
5,Fullmoon Terrace & Bar,https://goo.gl/maps/nuusZsQqRZZjwevi9,614 ถ. ลาดพร้าววังหิน แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ,18.00 - 02.00 น.,0-2539-8015,มี,https://www.facebook.com/fullmoonterrace/,ใช่,ใช่
6,Sugar House Cafe and Craft Beer,https://goo.gl/maps/ByBV3mcYgs5Gmrus5,298/2 ถนนลาดพร้าว 101 คลองจั่น ลาดพร้าว กรุงเทพฯ,17.00 - 24.00 น.,09-8246-9523,มี,https://www.facebook.com/sugarhousecafe101/,ไม่ใช่,ใช่
7,เสวนาพาเพลิน,https://goo.gl/maps/RRAz5Uo9jQ7KwJFN6,1440/1 ถ.พหลโยธิน แขวงจันทรเกษม เขตจตุจักร กรุงเทพฯ,17.00 - 02.00 น.,08-0615-6664,มี,https://www.facebook.com/sewanapaploen/,ใช่,ใช่
8,Ninetails Bar & Booster,https://goo.gl/maps/agM9N63qUfRoybhVA,148/1 ลาดพร้าว ซ.4 เขตจตุจักร กรุงเทพฯ,18.00 - 01.00 น.,08-6301-0769,ไม่มี,https://www.facebook.com/ninetails.bb,ใช่,ไม่ใช่
9,Ladprao Sky Bar,https://g.page/LadpraoSkyBar?share,"148, 8 ถนนลาดพร้าว แขวงจอมพล เขตจตุจักร  กรุงเทพฯ",17.00 - 23.00 น.,06-5613-6548,ไม่มี (จอดริมถนน),https://www.facebook.com/LadpraoSkyBar/,ไม่ใช่,ไม่ใช่
10,Malila : มะลิลา,https://goo.gl/maps/ekEC3zaKyFRk2wkH7,12/20 ถ.ลาดพร้าว แขวงจอมพล เขตจตุจักร กรุงเทพฯ,18.00 - 24.00 น.,0-2938-5772,มี (ก่อน 20.00 น. จอดรถในลาดพร้าว ซอย 2 / หลัง 20.00 น. จอดริมถนนหน้าร้าน),https://www.facebook.com/malilabarandrestaurant/,ไม่ใช่,ใช่
11,Len Yai by HOUSE SPACE,https://goo.gl/maps/1MoKTxPWTVSbx7xH7,1883/29 ถ.พหลโยธิน แขวงลาดยาว เขตจตุจักร กรุงเทพฯ,18.00 - 24.00 น.,09-2789-8221,มี,https://www.facebook.com/LenYaiByHouseSpace/,ไม่ใช่,ใช่
12,Sorkorsor art&music cafe,https://g.page/sorkorsor-hangout?share,516 ซ.ลาดพร้าววังหิน 38 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพฯ,18.30 - 02.00 น.,09-2293-9656,มี,https://www.facebook.com/sorkorsor.hangout/,ใช่,ใช่
